file,total_timesteps,optimal_threshold,kept_timesteps,retention_%,mean_SPL_all,mean_SPL_kept,mean_peak_intens,global_retention_%
exA1.csv,254,89.35,115,45.3,82.63,93.46,2.994e-06,45.7
exA10.csv,368,89.55,121,32.9,79.02,93.6,3.065e-06,33.4
exA11.csv,291,88.74,124,42.6,80.64,93.42,3.087e-06,41.6
exA12.csv,276,89.55,106,38.4,80.45,93.14,3.149e-06,39.9
exA13.csv,323,89.15,129,39.9,80.58,93.39,3.097e-06,39.0
exA14.csv,308,88.74,124,40.3,80.47,93.05,2.889e-06,38.0
exA15.csv,284,89.15,130,45.8,81.61,93.44,2.979e-06,45.1
exA16.csv,331,88.74,138,41.7,80.46,92.84,2.827e-06,39.0
exA17.csv,295,89.35,111,37.6,80.12,93.19,3.036e-06,37.6
exA18.csv,311,89.15,121,38.9,80.74,93.17,3.022e-06,38.6
exA19.csv,312,88.34,133,42.6,80.55,92.74,2.856e-06,39.1
exA2.csv,274,89.35,122,44.5,81.88,93.34,2.879e-06,44.5
exA20.csv,319,88.14,133,41.7,79.83,92.83,2.817e-06,37.3
exA3.csv,277,89.35,114,41.2,80.53,93.24,2.940e-06,41.5
exA4.csv,285,88.74,140,49.1,82.08,93.2,2.923e-06,47.4
exA5.csv,267,88.54,117,43.8,80.93,93.12,2.930e-06,41.2
exA6.csv,280,89.35,126,45.0,81.42,93.4,2.988e-06,45.0
exA7.csv,279,89.55,132,47.3,82.68,93.46,2.898e-06,48.4
exA8.csv,283,89.75,124,43.8,82.02,93.87,3.188e-06,46.3
exA9.csv,291,89.35,135,46.4,82.29,93.32,2.927e-06,47.1
