file,total_timesteps,optimal_threshold,kept_timesteps,retention_%,mean_SPL_all,mean_SPL_kept,mean_peak_intens,global_retention_%
exBA1.csv,279,90.55,113,40.5,80.83,94.21,3.522e-06,41.2
exBA10.csv,293,90.15,129,44.0,81.62,94.32,3.485e-06,43.0
exBA2.csv,292,90.35,122,41.8,81.27,94.53,3.636e-06,41.8
exBA3.csv,281,90.15,126,44.8,81.69,94.36,3.560e-06,44.5
exBA4.csv,282,89.95,121,42.9,81.41,94.28,3.504e-06,41.8
exBA5.csv,274,90.35,127,46.4,82.5,94.4,3.535e-06,46.4
exBA6.csv,285,89.55,134,47.0,81.88,94.08,3.364e-06,43.9
exBA7.csv,294,90.35,125,42.5,81.09,94.37,3.379e-06,42.5
exBA8.csv,269,89.15,131,48.7,82.03,93.8,3.184e-06,44.2
exBA9.csv,295,90.35,124,42.0,81.58,94.32,3.424e-06,41.7
