file,total_timesteps,optimal_threshold,kept_timesteps,retention_%,mean_SPL_all,mean_SPL_kept,mean_peak_intens,global_retention_%
exBB1.csv,292,90.75,108,37.0,80.09,94.64,3.869e-06,36.3
exBB10.csv,289,90.75,114,39.4,81.15,94.6,3.930e-06,39.1
exBB2.csv,287,90.35,121,42.2,80.97,94.8,3.882e-06,41.1
exBB3.csv,285,90.75,112,39.3,81.51,94.77,4.028e-06,39.3
exBB4.csv,288,90.75,121,42.0,82.36,94.81,3.994e-06,41.7
exBB5.csv,310,90.55,134,43.2,82.51,94.65,3.896e-06,42.6
exBB6.csv,291,90.55,120,41.2,81.29,94.55,3.806e-06,40.5
exBB7.csv,311,90.75,121,38.9,81.57,94.73,3.841e-06,38.9
exBB8.csv,295,90.75,121,41.0,81.31,94.65,3.980e-06,40.7
exBB9.csv,304,90.55,126,41.4,81.08,94.85,4.099e-06,40.5
