file,total_timesteps,optimal_threshold,kept_timesteps,retention_%,mean_SPL_all,mean_SPL_kept,mean_peak_intens,global_retention_%
exBC1.csv,273,89.55,127,46.5,82.24,93.96,3.102e-06,48.0
exBC10.csv,280,86.93,133,47.5,80.66,92.3,3.417e-06,41.1
exBC2.csv,271,88.94,123,45.4,81.41,93.7,3.013e-06,44.3
exBC3.csv,283,89.35,122,43.1,81.1,93.88,3.004e-06,44.2
exBC4.csv,271,89.55,115,42.4,81.3,93.98,3.210e-06,44.6
exBC5.csv,287,88.94,131,45.6,80.86,93.67,3.026e-06,43.6
exBC6.csv,283,88.94,130,45.9,81.15,93.83,3.032e-06,44.9
exBC7.csv,275,89.35,126,45.8,82.22,93.96,3.039e-06,45.8
exBC8.csv,266,88.94,110,41.4,79.98,93.37,2.924e-06,39.5
exBC9.csv,277,89.75,128,46.2,82.0,93.91,3.235e-06,48.0
