file,total_timesteps,optimal_threshold,kept_timesteps,retention_%,mean_SPL_all,mean_SPL_kept,mean_peak_intens,global_retention_%
exBD1.csv,289,91.36,98,33.9,80.45,94.29,5.032e-06,38.1
exBD10.csv,300,90.55,116,38.7,80.87,94.22,4.653e-06,39.7
exBD2.csv,300,91.56,99,33.0,81.11,94.61,5.106e-06,37.7
exBD3.csv,288,91.56,95,33.0,80.21,94.55,4.816e-06,36.5
exBD4.csv,298,87.94,124,41.6,80.4,93.31,3.906e-06,35.2
exBD5.csv,283,91.16,97,34.3,80.57,94.35,4.665e-06,36.7
exBD6.csv,273,89.95,120,44.0,80.9,93.9,4.358e-06,42.5
exBD7.csv,279,90.35,100,35.8,79.49,94.0,4.551e-06,35.8
exBD8.csv,300,91.96,90,30.0,80.26,94.62,4.933e-06,38.0
exBD9.csv,286,91.76,103,36.0,81.72,94.76,5.041e-06,42.0
