timestamp,sample_index,time_seconds,left_volume,right_volume
2026-03-30T11:50:56.578836,0,0.000000,0.550000,1.000000
2026-03-30T11:50:56.588836,1920,0.010000,0.550000,1.000000
2026-03-30T11:50:56.591924,2513,0.013089,0.550000,1.000000
2026-03-30T11:50:56.601924,4433,0.023089,0.550000,1.000000
2026-03-30T11:50:56.583679,5026,0.026177,0.550000,1.000000
2026-03-30T11:50:56.593679,6946,0.036177,0.550000,1.000000
2026-03-30T11:50:56.596768,7539,0.039266,0.550000,1.000000
2026-03-30T11:50:56.606768,9459,0.049266,0.550000,1.000000
2026-03-30T11:50:56.631190,10052,0.052354,0.550000,1.000000
2026-03-30T11:50:56.641190,11972,0.062354,0.550000,1.000000
2026-03-30T11:50:56.644278,12565,0.065443,0.550000,1.000000
2026-03-30T11:50:56.654278,14485,0.075443,0.550000,1.000000
2026-03-30T11:50:56.636034,15078,0.078531,0.550000,1.000000
2026-03-30T11:50:56.646034,16998,0.088531,0.550000,1.000000
2026-03-30T11:50:56.649122,17591,0.091620,0.550000,1.000000
2026-03-30T11:50:56.659122,19511,0.101620,0.550000,1.000000
2026-03-30T11:50:56.683544,20104,0.104708,0.550000,1.000000
2026-03-30T11:50:56.693544,22024,0.114708,0.550000,1.000000
2026-03-30T11:50:56.696633,22617,0.117797,0.550000,1.000000
2026-03-30T11:50:56.706633,24537,0.127797,0.550000,1.000000
2026-03-30T11:50:56.688388,25130,0.130885,0.550000,1.000000
2026-03-30T11:50:56.698388,27050,0.140885,0.550000,1.000000
2026-03-30T11:50:56.701476,27643,0.143974,0.550000,1.000000
2026-03-30T11:50:56.711476,29563,0.153974,0.550000,1.000000
2026-03-30T11:50:56.735898,30156,0.157062,0.550000,1.000000
2026-03-30T11:50:56.745898,32076,0.167063,0.550000,1.000000
2026-03-30T11:50:56.748987,32669,0.170151,0.550000,1.000000
2026-03-30T11:50:56.758987,34589,0.180151,0.550000,1.000000
2026-03-30T11:50:56.740742,35182,0.183240,0.550000,1.000000
2026-03-30T11:50:56.750742,37102,0.193240,0.550000,1.000000
2026-03-30T11:50:56.753830,37695,0.196328,0.550000,1.000000
2026-03-30T11:50:56.763830,39615,0.206328,0.550000,1.000000
2026-03-30T11:50:56.788252,40208,0.209417,0.550000,1.000000
2026-03-30T11:50:56.798252,42128,0.219417,0.550000,1.000000
