timestamp,robot_x,robot_y,speakerL_x,speakerL_y,speakerR_x,speakerR_y
2026-06-09T09:29:39.897995,-1123.215576171875,-515.1870727539062,-352.6371154785156,-162.32054138183594,-342.753173828125,-850.04052734375
2026-06-09T09:29:39.908056,-1123.2158203125,-515.1784057617188,-352.6197509765625,-162.3218536376953,-342.75146484375,-850.04443359375
2026-06-09T09:29:39.918008,-1123.2135009765625,-515.1807250976562,-352.6261901855469,-162.32518005371094,-342.75225830078125,-850.0321655273438
2026-06-09T09:29:39.927900,-1123.2049560546875,-515.1792602539062,-352.632568359375,-162.3153839111328,-342.7604675292969,-850.0529174804688
2026-06-09T09:29:39.937924,-1123.203125,-515.1846923828125,-352.6287536621094,-162.3267364501953,-342.7550354003906,-850.0254516601562
2026-06-09T09:29:39.947976,-1123.2193603515625,-515.185302734375,-352.6344299316406,-162.32041931152344,-342.7432556152344,-850.0457153320312
2026-06-09T09:29:39.957976,-1123.223388671875,-515.1912231445312,-352.627685546875,-162.3268280029297,-342.7603759765625,-850.0443725585938
2026-06-09T09:29:39.967976,-1123.21044921875,-515.1810913085938,-352.62042236328125,-162.31494140625,-342.75665283203125,-850.0303344726562
2026-06-09T09:29:39.977977,-1123.1943359375,-515.1807861328125,-352.6261291503906,-162.3185577392578,-342.7428894042969,-850.0429077148438
2026-06-09T09:29:39.987977,-1123.196044921875,-515.183349609375,-352.63372802734375,-162.32199096679688,-342.77099609375,-850.0357666015625
2026-06-09T09:29:39.997977,-1123.2191162109375,-515.1734008789062,-352.6289367675781,-162.32496643066406,-342.74493408203125,-850.04638671875
2026-06-09T09:29:40.007977,-1123.2076416015625,-515.1756591796875,-352.62945556640625,-162.3299560546875,-342.7450256347656,-850.033447265625
2026-06-09T09:29:40.017977,-1123.209228515625,-515.184814453125,-352.61602783203125,-162.31903076171875,-342.755126953125,-850.0438232421875
2026-06-09T09:29:40.027977,-1123.2027587890625,-515.1697387695312,-352.6322021484375,-162.3267364501953,-342.7525939941406,-850.0347290039062
2026-06-09T09:29:40.037977,-1123.2027587890625,-515.1774291992188,-352.6351318359375,-162.32815551757812,-342.7477111816406,-850.0357666015625
2026-06-09T09:29:40.047977,-1123.213134765625,-515.1747436523438,-352.6220703125,-162.31895446777344,-342.7489013671875,-850.04541015625
2026-06-09T09:29:40.057977,-1123.2117919921875,-515.1924438476562,-352.6283874511719,-162.3272247314453,-342.7518005371094,-850.04052734375
2026-06-09T09:29:40.067977,-1123.2093505859375,-515.1795043945312,-352.625,-162.32147216796875,-342.7535400390625,-850.0451049804688
2026-06-09T09:29:40.077977,-1123.2061767578125,-515.177001953125,-352.6370544433594,-162.32736206054688,-342.7532043457031,-850.0398559570312
2026-06-09T09:29:40.087977,-1123.20263671875,-515.1815185546875,-352.62677001953125,-162.3188934326172,-342.757568359375,-850.0433349609375
2026-06-09T09:29:40.097977,-1123.211669921875,-515.1800537109375,-352.6328430175781,-162.3262481689453,-342.7484436035156,-850.038330078125
2026-06-09T09:29:40.107977,-1123.2196044921875,-515.1878051757812,-352.6334228515625,-162.33251953125,-342.7574462890625,-850.0389404296875
2026-06-09T09:29:40.117977,-1123.2010498046875,-515.1978149414062,-352.6239929199219,-162.32241821289062,-342.7488098144531,-850.0437622070312
2026-06-09T09:29:40.127977,-1123.21630859375,-515.1867065429688,-352.63140869140625,-162.32858276367188,-342.73907470703125,-850.0372924804688
2026-06-09T09:29:40.137977,-1123.2059326171875,-515.18603515625,-352.6229248046875,-162.33155822753906,-342.7425231933594,-850.02978515625
2026-06-09T09:29:40.147977,-1123.22314453125,-515.1746215820312,-352.6366271972656,-162.331298828125,-342.7433776855469,-850.0399169921875
2026-06-09T09:29:40.157977,-1123.2183837890625,-515.1810302734375,-352.6189880371094,-162.3271484375,-342.7559814453125,-850.0303955078125
2026-06-09T09:29:40.167976,-1123.215087890625,-515.1779174804688,-352.617919921875,-162.32330322265625,-342.7518005371094,-850.0379028320312
2026-06-09T09:29:40.177976,-1123.2044677734375,-515.17626953125,-352.6242980957031,-162.32937622070312,-342.7441101074219,-850.0444946289062
2026-06-09T09:29:40.187976,-1123.2073974609375,-515.1710815429688,-352.6292724609375,-162.32415771484375,-342.7442321777344,-850.0382690429688
2026-06-09T09:29:40.197976,-1123.20849609375,-515.1832885742188,-352.6335754394531,-162.32994079589844,-342.7469482421875,-850.0469360351562
2026-06-09T09:29:40.207976,-1123.2120361328125,-515.1851196289062,-352.6239013671875,-162.32635498046875,-342.74981689453125,-850.0343627929688
2026-06-09T09:29:40.217976,-1123.20703125,-515.1815185546875,-352.6259460449219,-162.31617736816406,-342.75384521484375,-850.0422973632812
2026-06-09T09:29:40.227977,-1123.2115478515625,-515.1715698242188,-352.623291015625,-162.328857421875,-342.741943359375,-850.045166015625
2026-06-09T09:29:40.237977,-1123.21044921875,-515.1802368164062,-352.6337890625,-162.31838989257812,-342.7532653808594,-850.0413208007812
2026-06-09T09:29:40.247977,-1123.2080078125,-515.17822265625,-352.6424255371094,-162.31101989746094,-342.7366638183594,-850.0397338867188
2026-06-09T09:29:40.257977,-1123.210693359375,-515.1747436523438,-352.63629150390625,-162.31228637695312,-342.7553405761719,-850.0345458984375
2026-06-09T09:29:40.267977,-1123.218505859375,-515.1823120117188,-352.633544921875,-162.32284545898438,-342.7502746582031,-850.0452270507812
2026-06-09T09:29:40.277977,-1123.2076416015625,-515.190673828125,-352.62738037109375,-162.32986450195312,-342.7510070800781,-850.0447387695312
2026-06-09T09:29:40.287977,-1123.21240234375,-515.1972045898438,-352.6322937011719,-162.32081604003906,-342.7416076660156,-850.03955078125
2026-06-09T09:29:40.297977,-1123.1993408203125,-515.180908203125,-352.62664794921875,-162.31723022460938,-342.7442932128906,-850.0379028320312
2026-06-09T09:29:40.307977,-1123.2135009765625,-515.199462890625,-352.62286376953125,-162.31581115722656,-342.7427062988281,-850.0380249023438
2026-06-09T09:29:40.317977,-1123.213623046875,-515.1802978515625,-352.6248779296875,-162.32627868652344,-342.75457763671875,-850.0374755859375
2026-06-09T09:29:40.327977,-1123.2176513671875,-515.1832275390625,-352.6194152832031,-162.30894470214844,-342.75933837890625,-850.0421142578125
2026-06-09T09:29:40.337977,-1123.2032470703125,-515.1806640625,-352.6390686035156,-162.31533813476562,-342.75091552734375,-850.036376953125
2026-06-09T09:29:40.347977,-1123.1942138671875,-515.1790161132812,-352.6321105957031,-162.31753540039062,-342.7530212402344,-850.0316162109375
2026-06-09T09:29:40.357977,-1123.2027587890625,-515.1870727539062,-352.63287353515625,-162.32313537597656,-342.7431640625,-850.0380249023438
2026-06-09T09:29:40.367977,-1123.2130126953125,-515.1901245117188,-352.6208190917969,-162.32675170898438,-342.7495422363281,-850.034423828125
2026-06-09T09:29:40.377977,-1123.2093505859375,-515.1911010742188,-352.6129455566406,-162.32493591308594,-342.7410583496094,-850.0367431640625
2026-06-09T09:29:40.387977,-1123.2060546875,-515.1860961914062,-352.62603759765625,-162.32516479492188,-342.75335693359375,-850.0274658203125
2026-06-09T09:29:40.397977,-1123.198974609375,-515.1830444335938,-352.6266174316406,-162.3318634033203,-342.74566650390625,-850.0443725585938
2026-06-09T09:29:40.407977,-1123.200439453125,-515.1859741210938,-352.624755859375,-162.3273468017578,-342.7594909667969,-850.030517578125
2026-06-09T09:29:40.417976,-1123.212158203125,-515.1797485351562,-352.627685546875,-162.32235717773438,-342.7373962402344,-850.0379638671875
2026-06-09T09:29:40.427976,-1123.2130126953125,-515.1881713867188,-352.6188659667969,-162.31629943847656,-342.7490539550781,-850.0411987304688
2026-06-09T09:29:40.437976,-1123.1966552734375,-515.1893920898438,-352.632568359375,-162.33303833007812,-342.7589416503906,-850.0245971679688
2026-06-09T09:29:40.447976,-1123.1954345703125,-515.186767578125,-352.6337890625,-162.3201141357422,-342.7437438964844,-850.0521850585938
2026-06-09T09:29:40.457976,-1123.213134765625,-515.1832885742188,-352.6264953613281,-162.32591247558594,-342.75469970703125,-850.0377807617188
2026-06-09T09:29:40.467976,-1123.2169189453125,-515.1945190429688,-352.62481689453125,-162.318603515625,-342.7520751953125,-850.0374755859375
2026-06-09T09:29:40.477977,-1123.213623046875,-515.1754150390625,-352.6231994628906,-162.30946350097656,-342.74755859375,-850.0405883789062
2026-06-09T09:29:40.487977,-1123.2003173828125,-515.1810302734375,-352.6287841796875,-162.31454467773438,-342.76171875,-850.0422973632812
2026-06-09T09:29:40.497977,-1123.20458984375,-515.1785888671875,-352.6335144042969,-162.31686401367188,-342.7558288574219,-850.0393676757812
2026-06-09T09:29:40.507977,-1123.2052001953125,-515.1766967773438,-352.6259765625,-162.31825256347656,-342.7507019042969,-850.0358276367188
2026-06-09T09:29:40.517977,-1123.2208251953125,-515.1796875,-352.612060546875,-162.3224334716797,-342.7533874511719,-850.0360107421875
2026-06-09T09:29:40.527977,-1123.210205078125,-515.1845703125,-352.6246032714844,-162.32492065429688,-342.74859619140625,-850.0390625
