timestamp,robot_x,robot_y,speakerL_x,speakerL_y,speakerR_x,speakerR_y
2026-06-09T09:38:25.224919,-1122.5345458984375,-515.2730102539062,-353.0047607421875,-157.44573974609375,-342.0823669433594,-850.0452270507812
2026-06-09T09:38:25.234617,-1122.5377197265625,-515.2736206054688,-352.9950256347656,-157.44993591308594,-342.07080078125,-850.0418701171875
2026-06-09T09:38:25.246033,-1122.5560302734375,-515.273193359375,-352.9994812011719,-157.4454345703125,-342.079833984375,-850.0409545898438
2026-06-09T09:38:25.255003,-1122.54443359375,-515.2839965820312,-352.99493408203125,-157.44076538085938,-342.06494140625,-850.0302124023438
2026-06-09T09:38:25.265042,-1122.5478515625,-515.2735595703125,-353.0025939941406,-157.4381561279297,-342.06671142578125,-850.0444946289062
2026-06-09T09:38:25.275123,-1122.5379638671875,-515.2682495117188,-352.99517822265625,-157.43634033203125,-342.0682067871094,-850.0326538085938
2026-06-09T09:38:25.285123,-1122.5474853515625,-515.2783813476562,-353.001953125,-157.4334716796875,-342.0622863769531,-850.0439453125
2026-06-09T09:38:25.295123,-1122.5472412109375,-515.279541015625,-352.994140625,-157.4444580078125,-342.06890869140625,-850.03955078125
2026-06-09T09:38:25.305123,-1122.554443359375,-515.2820434570312,-352.9898681640625,-157.42364501953125,-342.061279296875,-850.03857421875
2026-06-09T09:38:25.315123,-1122.5443115234375,-515.2739868164062,-352.9931640625,-157.43568420410156,-342.0744934082031,-850.0343627929688
2026-06-09T09:38:25.325123,-1122.54443359375,-515.2782592773438,-352.9976806640625,-157.4249725341797,-342.0645751953125,-850.046630859375
2026-06-09T09:38:25.335123,-1122.541748046875,-515.2756958007812,-352.9861145019531,-157.43582153320312,-342.06890869140625,-850.0382080078125
2026-06-09T09:38:25.345123,-1122.554931640625,-515.2819213867188,-353.00439453125,-157.43710327148438,-342.0698547363281,-850.0421752929688
2026-06-09T09:38:25.355123,-1122.5523681640625,-515.2755126953125,-352.9849853515625,-157.4353485107422,-342.0669860839844,-850.0364990234375
2026-06-09T09:38:25.365123,-1122.5496826171875,-515.2731323242188,-352.9974060058594,-157.44189453125,-342.0734558105469,-850.0377197265625
2026-06-09T09:38:25.375123,-1122.54296875,-515.2787475585938,-353.00146484375,-157.4335174560547,-342.0658874511719,-850.0426635742188
2026-06-09T09:38:25.385123,-1122.5474853515625,-515.2816162109375,-352.9938049316406,-157.44740295410156,-342.0658264160156,-850.0437622070312
2026-06-09T09:38:25.395123,-1122.5521240234375,-515.280029296875,-352.9923095703125,-157.4397735595703,-342.0655517578125,-850.0343627929688
2026-06-09T09:38:25.405123,-1122.5433349609375,-515.2755737304688,-352.9853820800781,-157.43870544433594,-342.0737609863281,-850.0362548828125
2026-06-09T09:38:25.415123,-1122.555419921875,-515.2825927734375,-353.00439453125,-157.44345092773438,-342.0709228515625,-850.0467529296875
2026-06-09T09:38:25.425123,-1122.542236328125,-515.2713623046875,-352.9961242675781,-157.44032287597656,-342.0672912597656,-850.0443115234375
2026-06-09T09:38:25.435123,-1122.5494384765625,-515.2808227539062,-352.9966735839844,-157.44541931152344,-342.0627136230469,-850.0497436523438
2026-06-09T09:38:25.445123,-1122.5604248046875,-515.2776489257812,-352.9897155761719,-157.4380340576172,-342.06591796875,-850.0458984375
2026-06-09T09:38:25.455123,-1122.5401611328125,-515.282958984375,-352.99151611328125,-157.44651794433594,-342.0603332519531,-850.0482788085938
2026-06-09T09:38:25.465123,-1122.54931640625,-515.2830200195312,-352.99456787109375,-157.44044494628906,-342.0701599121094,-850.0452270507812
2026-06-09T09:38:25.475123,-1122.5521240234375,-515.2742309570312,-353.00079345703125,-157.44171142578125,-342.0760803222656,-850.0477294921875
2026-06-09T09:38:25.485123,-1122.5443115234375,-515.283935546875,-352.9930725097656,-157.43380737304688,-342.0722351074219,-850.046142578125
2026-06-09T09:38:25.495123,-1122.549560546875,-515.277587890625,-352.994384765625,-157.44581604003906,-342.0656433105469,-850.0481567382812
2026-06-09T09:38:25.505123,-1122.5433349609375,-515.2711181640625,-352.994140625,-157.44140625,-342.07696533203125,-850.0420532226562
2026-06-09T09:38:25.515123,-1122.5484619140625,-515.279541015625,-352.9989318847656,-157.43919372558594,-342.07623291015625,-850.05126953125
2026-06-09T09:38:25.525123,-1122.5496826171875,-515.2679443359375,-352.9974670410156,-157.44735717773438,-342.07135009765625,-850.0482177734375
2026-06-09T09:38:25.535123,-1122.548583984375,-515.27978515625,-353.00201416015625,-157.4423370361328,-342.0733947753906,-850.0484619140625
2026-06-09T09:38:25.545123,-1122.54296875,-515.2752075195312,-352.98944091796875,-157.44654846191406,-342.0583801269531,-850.032470703125
2026-06-09T09:38:25.555123,-1122.542724609375,-515.2664794921875,-353.00543212890625,-157.4400177001953,-342.0779113769531,-850.0370483398438
2026-06-09T09:38:25.565123,-1122.54833984375,-515.2713012695312,-352.99853515625,-157.45242309570312,-342.0713806152344,-850.0414428710938
2026-06-09T09:38:25.575123,-1122.5557861328125,-515.2733154296875,-352.99334716796875,-157.44146728515625,-342.07708740234375,-850.0402221679688
2026-06-09T09:38:25.585123,-1122.5474853515625,-515.2792358398438,-353.00177001953125,-157.44619750976562,-342.0747375488281,-850.0398559570312
2026-06-09T09:38:25.595123,-1122.5517578125,-515.26953125,-352.99560546875,-157.43893432617188,-342.07098388671875,-850.0470581054688
2026-06-09T09:38:25.605123,-1122.543212890625,-515.2720336914062,-353.00244140625,-157.4406280517578,-342.062744140625,-850.0503540039062
2026-06-09T09:38:25.615123,-1122.54736328125,-515.2731323242188,-353.0006103515625,-157.44268798828125,-342.0751647949219,-850.033935546875
2026-06-09T09:38:25.625123,-1122.5401611328125,-515.284423828125,-352.994140625,-157.44488525390625,-342.0682373046875,-850.0560302734375
2026-06-09T09:38:25.635123,-1122.54345703125,-515.2793579101562,-353.00335693359375,-157.43849182128906,-342.07672119140625,-850.0394897460938
2026-06-09T09:38:25.645123,-1122.5323486328125,-515.2761840820312,-353.00225830078125,-157.44195556640625,-342.0674133300781,-850.03857421875
2026-06-09T09:38:25.655123,-1122.5423583984375,-515.2696533203125,-352.9969787597656,-157.4497528076172,-342.06378173828125,-850.0393676757812
2026-06-09T09:38:25.665123,-1122.5242919921875,-515.2723388671875,-353.0013427734375,-157.4358367919922,-342.0677795410156,-850.0379638671875
2026-06-09T09:38:25.675123,-1122.55517578125,-515.2749633789062,-352.99725341796875,-157.43821716308594,-342.0671081542969,-850.0401000976562
2026-06-09T09:38:25.685123,-1122.5400390625,-515.2725830078125,-353.00958251953125,-157.44456481933594,-342.0719909667969,-850.0462646484375
2026-06-09T09:38:25.695123,-1122.5428466796875,-515.2755737304688,-353.0030212402344,-157.43704223632812,-342.0713806152344,-850.0368041992188
2026-06-09T09:38:25.705123,-1122.5479736328125,-515.2625732421875,-352.9994812011719,-157.4353485107422,-342.0699462890625,-850.0379638671875
2026-06-09T09:38:25.715123,-1122.5426025390625,-515.2801513671875,-352.99365234375,-157.4405975341797,-342.0628356933594,-850.0438232421875
2026-06-09T09:38:25.725123,-1122.54248046875,-515.259033203125,-352.99005126953125,-157.43931579589844,-342.0688171386719,-850.0440063476562
2026-06-09T09:38:25.735123,-1122.54638671875,-515.2801513671875,-353.00244140625,-157.44032287597656,-342.083984375,-850.04345703125
2026-06-09T09:38:25.745123,-1122.545166015625,-515.26953125,-352.9964904785156,-157.44554138183594,-342.0652770996094,-850.0370483398438
2026-06-09T09:38:25.755123,-1122.5565185546875,-515.2744140625,-352.99774169921875,-157.4389190673828,-342.0740966796875,-850.0450439453125
2026-06-09T09:38:25.765123,-1122.5438232421875,-515.2744750976562,-352.9942626953125,-157.44264221191406,-342.0774230957031,-850.0352783203125
2026-06-09T09:38:25.775123,-1122.5615234375,-515.2691650390625,-352.9976501464844,-157.43385314941406,-342.0736999511719,-850.0409545898438
2026-06-09T09:38:25.785123,-1122.531494140625,-515.2725219726562,-352.99908447265625,-157.44703674316406,-342.080810546875,-850.0390625
2026-06-09T09:38:25.795123,-1122.543212890625,-515.2722778320312,-353.00384521484375,-157.43954467773438,-342.0671691894531,-850.0611572265625
2026-06-09T09:38:25.805123,-1122.5406494140625,-515.2734985351562,-352.994140625,-157.43759155273438,-342.07830810546875,-850.0317993164062
2026-06-09T09:38:25.815123,-1122.549560546875,-515.2782592773438,-353.0018005371094,-157.44296264648438,-342.0718078613281,-850.056396484375
2026-06-09T09:38:25.825123,-1122.54345703125,-515.2802734375,-352.9965515136719,-157.4322052001953,-342.06658935546875,-850.0421752929688
2026-06-09T09:38:25.835123,-1122.5338134765625,-515.2786254882812,-352.9989929199219,-157.44235229492188,-342.0707092285156,-850.0418701171875
2026-06-09T09:38:25.845123,-1122.5430908203125,-515.2845458984375,-353.00567626953125,-157.4387969970703,-342.06170654296875,-850.0477294921875
2026-06-09T09:38:25.855123,-1122.5430908203125,-515.2723388671875,-353.00079345703125,-157.4469451904297,-342.0772399902344,-850.0408325195312
2026-06-09T09:38:25.865123,-1122.54296875,-515.2764282226562,-352.994384765625,-157.4392547607422,-342.0682067871094,-850.0467529296875
2026-06-09T09:38:25.875123,-1122.5389404296875,-515.2796630859375,-352.9934997558594,-157.43125915527344,-342.06842041015625,-850.0438842773438
2026-06-09T09:38:25.885123,-1122.5399169921875,-515.2714233398438,-353.00701904296875,-157.44090270996094,-342.0640869140625,-850.0502319335938
